"From","From Address","To","To Address","Departure Date","Departure Time","Arrival Date","Arrival Time","Driving Time","Distance","Total Driving Time","Total Distance","Notes"
"Indianapolis Motor Speedway - Gate 3","Brownsburg, IN","Right on Ronald Reagan Pkwy","Ronald Reagan Bike Path, Brownsburg, IN","2025-06-10","09:00","2025-06-10","09:00","","0.3","","0.3",""
"Right on Ronald Reagan Pkwy","Ronald Reagan Bike Path, Brownsburg, IN","Left onto I-74 West Crawfordsville","Ronald Reagan Parkway, Brownsburg, IN","2025-06-10","09:05","2025-06-10","09:08","3m","2.5","3m","2.8",""
"Left onto I-74 West Crawfordsville","Ronald Reagan Parkway, Brownsburg, IN","Left onto IN-276 / N. Green St","State Road 267, Brownsburg, IN","2025-06-10","09:13","2025-06-10","09:17","3m","2.6","7m","5.4",""
"Left onto IN-276 / N. Green St","State Road 267, Brownsburg, IN","Merge left onto I-65N Chicago","Albert S. White Drive, Perry, IN","2025-06-10","09:17","2025-06-10","09:28","11m","8.6","18m","14.0",""
"Merge left onto I-65N Chicago","Albert S. White Drive, Perry, IN","Exit 141 - US-52W","Frontage Rd, Center, IN","2025-06-10","09:33","2025-06-10","09:45","11m","8.9","30m","23.0",""
"Exit 141 - US-52W","Frontage Rd, Center, IN","Left onto Veterans Mem Pkwy S/East 350 South","East 350 South, Wea, IN","2025-06-10","09:50","2025-06-10","10:26","35m","26.6","1h 6m","49.5",""
"Left onto Veterans Mem Pkwy S/East 350 South","East 350 South, Wea, IN","Right on US-231N","County Road 350 South, Wea, IN","2025-06-10","10:31","2025-06-10","10:37","6m","5.1","1h 12m","54.7",""
"Right on US-231N","County Road 350 South, Wea, IN","Left onto US-52W","US 231, West Lafayette, IN","2025-06-10","10:42","2025-06-10","10:53","10m","7.6","1h 23m","62.3",""
"Left onto US-52W","US 231, West Lafayette, IN","Left on IN-10 / Co Rd 1000 N","Lake, IN","2025-06-10","10:58","2025-06-10","11:21","1h 23m","62.8","2h 46m","125.1",""
"Left on IN-10 / Co Rd 1000 N","Lake, IN","Right onto Gladiolus St","Gladiolus Street, IL","2025-06-10","11:26","2025-06-10","11:41","14m","11.2","3h 1m","136.3",""
"Right onto Gladiolus St","Gladiolus Street, IL","Left onto IL-1 South / IL-17 West","South Dixie Highway, Momence, IL","2025-06-10","11:46","2025-06-10","11:47","","0.2","3h 1m","136.5",""
"Left onto IL-1 South / IL-17 West","South Dixie Highway, Momence, IL","Right onto IL-113 W / N. Wall St","South Wall Street, Kankakee, IL","2025-06-10","11:52","2025-06-10","12:10","18m","13.6","3h 20m","150.0",""
"Right onto IL-113 W / N. Wall St","South Wall Street, Kankakee, IL","Right onto IL-53 / Historic Rt 66","Braidwood, IL","2025-06-10","12:15","2025-06-10","12:43","28m","21.3","3h 48m","171.4",""
"Right onto IL-53 / Historic Rt 66","Braidwood, IL","Turn right into Gate 14","Rowell Avenue, Joliet, IL","2025-06-10","12:48","2025-06-10","13:13","24m","18.3","4h 12m","189.7",""
"Turn right into Gate 14","Rowell Avenue, Joliet, IL","Right on Rowell Ave","West Schweizer Road, Joliet, IL","2025-06-10","13:18","2025-06-10","13:18","","0.2","4h 13m","189.9",""
"Right on Rowell Ave","West Schweizer Road, Joliet, IL","Turn right onto W. Schweizer Rd","Joliet, IL","2025-06-10","14:18","2025-06-10","14:19","1m","1.0","4h 14m","190.9",""
"Turn right onto W. Schweizer Rd","Joliet, IL","Route 66 Raceway","Rowell Avenue, Joliet, IL","2025-06-10","15:19","2025-06-10","15:21","1m","1.4","4h 16m","192.3",""
